,SPECIES,AVGHT,MAXHT
461,largeleaf geigertree,13.75,15
141,Palicourea croceoides,13.666666666666666,17
198,Utah juniper,13.521502966381016,39
302,cakalaka berry,13.5,14
744,white indigoberry,13.5,21
355,day jessamine,13.5,16
353,curlleaf mountain-mahogany,13.349052242256127,30
303,camasey de costilla,13.333333333333334,16
473,limeberry,13.285714285714286,15
403,greenheart ebony,13.25,15
21,Arabian coffee,13.234375,31
224,aridland stopper,13.125,18
532,nosegaytree,13.090909090909092,17
414,guiana plum,13.0,13
412,guayabilla,13.0,13
598,red manjack,13.0,13
762,wild marrow,12.925925925925926,17
304,camasey felpa,12.8,18
62,Christmas cherry,12.8,17
606,redberry juniper,12.794970986460347,37
751,white stopper,12.666666666666666,13
456,kuat,12.444444444444445,18
36,Bluewood,12.398148148148149,22
631,scratchbush,12.38888888888889,19
540,oneseed juniper,12.384475920679886,42
712,twinberry,12.344827586206897,18
550,palo de cachimbo,12.25,14
755,whitewood,12.24,16
68,Croton flavens,12.125,17
719,velvet mesquite,12.04985549132948,36
457,lalahag,12.0,12
596,red cappel,12.0,12
359,dwarf chinkapin oak,12.0,12
482,machete,11.91304347826087,14
567,poison ash,11.875,21
633,screwbean mesquite,11.666666666666666,14
488,maidenberry,11.612903225806452,16
492,manchineel berry,11.578947368421053,16
189,Texas persimmon,11.487704918032787,28
400,gray oak,11.407290015847861,29
369,emajagua de sierra,11.0,11
298,cacao rojo,11.0,11
271,blacktorch,11.0,14
145,Pinchot juniper,10.828947368421053,24
42,California juniper,10.411602209944752,29
313,castorbean,10.0,10
422,henna,10.0,10
536,"octopus tree, schefflera",10.0,10
448,key lime,10.0,10
280,braceletwood,10.0,12
318,cenizo,10.0,10
652,sloe,9.290322580645162,17
16,Anacua knockaway,9.0,9
105,Krug's roughleaf,9.0,9
86,Florida silver palm,9.0,9
565,placa chiquitu,8.88888888888889,17
449,key thatch palm,8.80952380952381,18
109,MacNab's cypress,8.6,14
549,palo amargo,8.571428571428571,13
485,mago,8.0,8
469,lemon,8.0,8
305,camasey peludo,8.0,8
627,sandbox tree,7.0,7
